code,label
key = rsa.newkeys(2048),RSA
RSA.generate(2048),RSA
"KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA""); kpg.initialize(2048);",RSA
"EVP_PKEY_CTX *ctx = EVP_PKEY_CTX_new_id(EVP_PKEY_RSA, NULL);",RSA
"from cryptography.hazmat.primitives.asymmetric import rsa; private_key = rsa.generate_private_key(public_exponent=65537, key_size=2048)",RSA
cipher = AESGCM(key),AES
"Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");",AES
"EVP_EncryptInit_ex(ctx, EVP_aes_256_gcm(), NULL, key, iv);",AES
algorithm = algorithms.AES(key),AES
"crypto.createCipheriv('aes-256-gcm', key, iv);",AES
ec.generate_private_key(ec.SECP256R1()),ECC
"KeyPairGenerator.getInstance(""EC"");",ECC
"EVP_PKEY_CTX_new_id(EVP_PKEY_EC, NULL);",ECC
crypto.createECDH('secp256k1');,ECC
"ECGenParameterSpec ecSpec = new ECGenParameterSpec(""secp256r1"");",ECC
digest = hashes.Hash(hashes.SHA256()),SHA
"MessageDigest.getInstance(""SHA-256"");",SHA
"EVP_DigestInit_ex(mdctx, EVP_sha256(), NULL);",SHA
crypto.createHash('sha256').update(data).digest('hex');,SHA
"hashlib.sha256(b""hello"").hexdigest()",SHA
print('hello world'),None
for i in range(10): print(i),None
public static void main(String[] args) {},None
SELECT * FROM users WHERE id = 1;,None
"def calculate_sum(a, b): return a + b",None
import os; os.listdir('.'),None
fetch('https://api.example.com/data'),None
key = rsa.newkeys(2048),RSA
RSA.generate(2048),RSA
"KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA""); kpg.initialize(2048);",RSA
"EVP_PKEY_CTX *ctx = EVP_PKEY_CTX_new_id(EVP_PKEY_RSA, NULL);",RSA
"from cryptography.hazmat.primitives.asymmetric import rsa; private_key = rsa.generate_private_key(public_exponent=65537, key_size=2048)",RSA
cipher = AESGCM(key),AES
"Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");",AES
"EVP_EncryptInit_ex(ctx, EVP_aes_256_gcm(), NULL, key, iv);",AES
algorithm = algorithms.AES(key),AES
"crypto.createCipheriv('aes-256-gcm', key, iv);",AES
ec.generate_private_key(ec.SECP256R1()),ECC
"KeyPairGenerator.getInstance(""EC"");",ECC
"EVP_PKEY_CTX_new_id(EVP_PKEY_EC, NULL);",ECC
crypto.createECDH('secp256k1');,ECC
"ECGenParameterSpec ecSpec = new ECGenParameterSpec(""secp256r1"");",ECC
digest = hashes.Hash(hashes.SHA256()),SHA
"MessageDigest.getInstance(""SHA-256"");",SHA
"EVP_DigestInit_ex(mdctx, EVP_sha256(), NULL);",SHA
crypto.createHash('sha256').update(data).digest('hex');,SHA
"hashlib.sha256(b""hello"").hexdigest()",SHA
print('hello world'),None
for i in range(10): print(i),None
public static void main(String[] args) {},None
SELECT * FROM users WHERE id = 1;,None
"def calculate_sum(a, b): return a + b",None
import os; os.listdir('.'),None
fetch('https://api.example.com/data'),None
key = rsa.newkeys(2048),RSA
RSA.generate(2048),RSA
"KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA""); kpg.initialize(2048);",RSA
"EVP_PKEY_CTX *ctx = EVP_PKEY_CTX_new_id(EVP_PKEY_RSA, NULL);",RSA
"from cryptography.hazmat.primitives.asymmetric import rsa; private_key = rsa.generate_private_key(public_exponent=65537, key_size=2048)",RSA
cipher = AESGCM(key),AES
"Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");",AES
"EVP_EncryptInit_ex(ctx, EVP_aes_256_gcm(), NULL, key, iv);",AES
algorithm = algorithms.AES(key),AES
"crypto.createCipheriv('aes-256-gcm', key, iv);",AES
ec.generate_private_key(ec.SECP256R1()),ECC
"KeyPairGenerator.getInstance(""EC"");",ECC
"EVP_PKEY_CTX_new_id(EVP_PKEY_EC, NULL);",ECC
crypto.createECDH('secp256k1');,ECC
"ECGenParameterSpec ecSpec = new ECGenParameterSpec(""secp256r1"");",ECC
digest = hashes.Hash(hashes.SHA256()),SHA
"MessageDigest.getInstance(""SHA-256"");",SHA
"EVP_DigestInit_ex(mdctx, EVP_sha256(), NULL);",SHA
crypto.createHash('sha256').update(data).digest('hex');,SHA
"hashlib.sha256(b""hello"").hexdigest()",SHA
print('hello world'),None
for i in range(10): print(i),None
public static void main(String[] args) {},None
SELECT * FROM users WHERE id = 1;,None
"def calculate_sum(a, b): return a + b",None
import os; os.listdir('.'),None
fetch('https://api.example.com/data'),None
key = rsa.newkeys(2048),RSA
RSA.generate(2048),RSA
"KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA""); kpg.initialize(2048);",RSA
"EVP_PKEY_CTX *ctx = EVP_PKEY_CTX_new_id(EVP_PKEY_RSA, NULL);",RSA
"from cryptography.hazmat.primitives.asymmetric import rsa; private_key = rsa.generate_private_key(public_exponent=65537, key_size=2048)",RSA
cipher = AESGCM(key),AES
"Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");",AES
"EVP_EncryptInit_ex(ctx, EVP_aes_256_gcm(), NULL, key, iv);",AES
algorithm = algorithms.AES(key),AES
"crypto.createCipheriv('aes-256-gcm', key, iv);",AES
ec.generate_private_key(ec.SECP256R1()),ECC
"KeyPairGenerator.getInstance(""EC"");",ECC
"EVP_PKEY_CTX_new_id(EVP_PKEY_EC, NULL);",ECC
crypto.createECDH('secp256k1');,ECC
"ECGenParameterSpec ecSpec = new ECGenParameterSpec(""secp256r1"");",ECC
digest = hashes.Hash(hashes.SHA256()),SHA
"MessageDigest.getInstance(""SHA-256"");",SHA
"EVP_DigestInit_ex(mdctx, EVP_sha256(), NULL);",SHA
crypto.createHash('sha256').update(data).digest('hex');,SHA
"hashlib.sha256(b""hello"").hexdigest()",SHA
print('hello world'),None
for i in range(10): print(i),None
public static void main(String[] args) {},None
SELECT * FROM users WHERE id = 1;,None
"def calculate_sum(a, b): return a + b",None
import os; os.listdir('.'),None
fetch('https://api.example.com/data'),None
key = rsa.newkeys(2048),RSA
RSA.generate(2048),RSA
"KeyPairGenerator kpg = KeyPairGenerator.getInstance(""RSA""); kpg.initialize(2048);",RSA
"EVP_PKEY_CTX *ctx = EVP_PKEY_CTX_new_id(EVP_PKEY_RSA, NULL);",RSA
"from cryptography.hazmat.primitives.asymmetric import rsa; private_key = rsa.generate_private_key(public_exponent=65537, key_size=2048)",RSA
cipher = AESGCM(key),AES
"Cipher c = Cipher.getInstance(""AES/GCM/NoPadding"");",AES
"EVP_EncryptInit_ex(ctx, EVP_aes_256_gcm(), NULL, key, iv);",AES
algorithm = algorithms.AES(key),AES
"crypto.createCipheriv('aes-256-gcm', key, iv);",AES
ec.generate_private_key(ec.SECP256R1()),ECC
"KeyPairGenerator.getInstance(""EC"");",ECC
"EVP_PKEY_CTX_new_id(EVP_PKEY_EC, NULL);",ECC
crypto.createECDH('secp256k1');,ECC
"ECGenParameterSpec ecSpec = new ECGenParameterSpec(""secp256r1"");",ECC
digest = hashes.Hash(hashes.SHA256()),SHA
"MessageDigest.getInstance(""SHA-256"");",SHA
"EVP_DigestInit_ex(mdctx, EVP_sha256(), NULL);",SHA
crypto.createHash('sha256').update(data).digest('hex');,SHA
"hashlib.sha256(b""hello"").hexdigest()",SHA
print('hello world'),None
for i in range(10): print(i),None
public static void main(String[] args) {},None
SELECT * FROM users WHERE id = 1;,None
"def calculate_sum(a, b): return a + b",None
import os; os.listdir('.'),None
fetch('https://api.example.com/data'),None
